time,value
0:00:58.400000,0.406366
0:00:58.424000,0.406217
0:00:58.447000,0.413739
0:00:58.469000,0.406012
0:00:58.493000,0.406026
0:00:58.521000,0.404783
0:00:58.545000,0.405178
0:00:58.568000,0.404150
0:00:58.593000,0.405741
0:00:58.617000,0.405095
0:00:58.640000,0.405309
0:00:58.663000,0.405649
0:00:58.686000,0.406281
0:00:58.709000,0.405923
0:00:58.732000,0.404481
0:00:58.754000,0.405365
0:00:58.776000,0.404658
0:00:58.801000,0.403979
0:00:58.822000,0.407165
0:00:58.845000,0.416126
0:00:58.868000,0.415759
0:00:58.891000,0.406775
0:00:58.914000,0.405417
0:00:58.936000,0.406794
0:00:58.960000,0.407580
0:00:58.982000,0.419890
0:00:59.005000,0.404848
0:00:59.028000,0.404709
0:00:59.051000,0.414638
0:00:59.073000,0.406342
0:00:59.096000,0.408119
0:00:59.119000,0.405816
0:00:59.141000,0.409933
0:00:59.163000,0.406077
0:00:59.191000,0.405691
0:00:59.212000,0.405923
0:00:59.234000,0.405751
0:00:59.259000,0.404393
0:00:59.280000,0.404690
0:00:59.303000,0.404127
0:00:59.326000,0.406226
0:00:59.349000,0.406123
0:00:59.371000,0.405914
0:00:59.393000,0.405993
0:00:59.422000,0.406142
0:00:59.445000,0.406212
0:00:59.467000,0.405812
0:00:59.492000,0.406165
0:00:59.518000,0.405928
0:00:59.541000,0.405327
0:00:59.566000,0.404406
0:00:59.588000,0.404695
0:00:59.610000,0.406100
0:00:59.635000,0.404737
0:00:59.659000,0.406226
0:00:59.680000,0.406123
0:00:59.703000,0.406226
0:00:59.727000,0.406016
0:00:59.750000,0.407603
0:00:59.772000,0.404514
0:00:59.794000,0.404207
0:00:59.818000,0.404909
0:00:59.840000,0.405965
0:00:59.862000,0.406277
0:00:59.885000,0.406923
0:00:59.908000,0.406310
0:00:59.930000,0.405681
0:00:59.955000,0.405816
0:00:59.977000,0.406049
0:01:00,0.405761
0:01:00.023000,0.404759
0:01:00.048000,0.405239
0:01:00.071000,0.404499
0:01:00.095000,0.407059
0:01:00.119000,0.408901
0:01:00.141000,0.406244
0:01:00.164000,0.406012
0:01:00.187000,0.406407
0:01:00.210000,0.406440
0:01:00.233000,0.406077
0:01:00.256000,0.406002
0:01:00.278000,0.405974
0:01:00.300000,0.407105
0:01:00.323000,0.405397
0:01:00.346000,0.406277
0:01:00.369000,0.406421
0:01:00.391000,0.406272
0:01:00.421000,0.406417
0:01:00.445000,0.405811
0:01:00.470000,0.406328
0:01:00.494000,0.404812
0:01:00.523000,0.404439
0:01:00.546000,0.409459
0:01:00.570000,0.406356
0:01:00.592000,0.406105
0:01:00.614000,0.405765
0:01:00.637000,0.405672
0:01:00.662000,0.406296
0:01:00.683000,0.406119
0:01:00.706000,0.405625
0:01:00.730000,0.405872
0:01:00.753000,0.404653
0:01:00.776000,0.404611
0:01:00.800000,0.404830
0:01:00.822000,0.405546
0:01:00.844000,0.406021
0:01:00.867000,0.405137
0:01:00.892000,0.405984
0:01:00.914000,0.405481
0:01:00.936000,0.405100
0:01:00.960000,0.405542
0:01:00.982000,0.404467
0:01:01.006000,0.406249
0:01:01.029000,0.406175
0:01:01.052000,0.406589
0:01:01.075000,0.406858
0:01:01.097000,0.407347
0:01:01.121000,0.405965
0:01:01.143000,0.406188
0:01:01.166000,0.405677
0:01:01.189000,0.406058
0:01:01.211000,0.406021
0:01:01.234000,0.406365
0:01:01.257000,0.405035
0:01:01.280000,0.406147
0:01:01.304000,0.406063
0:01:01.329000,0.405876
0:01:01.351000,0.405397
0:01:01.375000,0.404732
0:01:01.398000,0.410711
0:01:01.422000,0.404518
0:01:01.444000,0.405923
0:01:01.466000,0.406026
0:01:01.490000,0.405890
0:01:01.517000,0.406156
0:01:01.539000,0.406072
0:01:01.563000,0.405918
0:01:01.585000,0.405900
0:01:01.608000,0.404909
0:01:01.631000,0.405593
0:01:01.654000,0.404616
0:01:01.677000,0.405570
0:01:01.700000,0.407379
0:01:01.727000,0.406211
0:01:01.751000,0.406095
0:01:01.773000,0.405895
0:01:01.797000,0.405961
0:01:01.819000,0.406361
0:01:01.841000,0.406621
